,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
3,b0003,SACI_RS04645,28.622,283,188,6,1,279,2,274,1.4499999999999998e-17,77.8,310,0.9129032258064517,<=>
5,b0010,SACI_RS09385,39.361999999999995,188,108,3,1,187,1,183,6.299999999999999e-34,115.0,188,1.0,<=>
12,b0030,SACI_RS05660,29.26,311,196,6,7,301,7,309,1.18e-33,121.0,304,1.0230263157894737,<=>
14,b0032,SACI_RS07730,34.115,384,213,9,5,374,10,367,1.2499999999999998e-62,201.0,382,1.0052356020942408,<=>
16,b0033,SACI_RS07735,41.568999999999996,943,525,10,4,936,2,928,0.0,734.0,1073,0.8788443616029823,<=>
64,b0043,SACI_RS01425,34.0,400,229,8,20,411,19,391,7.4099999999999986e-68,218.0,428,0.9345794392523364,<=>
89,b0051,SACI_RS02965,25.676,222,127,8,12,230,2,188,9.95e-12,59.3,273,0.8131868131868132,<=>
90,b0060,SACI_RS00340,25.0,768,448,33,70,783,87,780,4.83e-34,135.0,783,0.9808429118773946,<=>
132,b0072,SACI_RS01235,32.99,388,207,11,82,465,76,414,5.73e-44,155.0,466,0.8326180257510729,<=>
138,b0074,SACI_RS11255,26.666999999999998,525,338,14,1,497,2,507,1.51e-42,155.0,523,1.0038240917782026,<=>
139,b0077,SACI_RS07440,36.538000000000004,572,346,9,3,566,1,563,1.8999999999999997e-115,351.0,574,0.9965156794425087,<=>
154,b0109,SACI_RS02610,38.519,270,153,7,29,294,12,272,3.38e-54,174.0,297,0.9090909090909091,<=>
172,b0121,SACI_RS03060,33.681,288,182,5,6,286,3,288,8.6e-53,171.0,288,1.0,<=>
208,b0134,SACI_RS04525,41.2,250,145,2,13,261,14,262,8.489999999999999e-63,194.0,264,0.946969696969697,<=>
211,b0146,SACI_RS01860,30.805999999999997,211,122,8,2,212,10,196,4.35e-21,84.3,234,0.9017094017094017,<=>
245,b0154,SACI_RS03730,40.941,425,243,5,4,426,2,420,1.43e-117,346.0,426,0.9976525821596244,<=>
250,b0157,SACI_RS05905,37.688,199,110,4,6,198,12,202,7.52e-34,116.0,207,0.961352657004831,<=>
257,b0168,SACI_RS07220,23.673000000000002,245,162,9,9,249,4,227,4.99e-13,63.5,264,0.928030303030303,<=>
261,b0171,SACI_RS06245,27.885,208,120,8,41,234,27,218,3.19e-06,42.7,241,0.8630705394190872,<=>
262,b0174,SACI_RS03620,35.371,229,145,2,20,245,34,262,2.31e-46,152.0,253,0.9051383399209486,<=>
267,b0183,SACI_RS04575,32.571,175,89,4,11,166,2,166,3.889999999999999e-18,75.1,198,0.8838383838383839,<=>
315,b0219,SACI_RS00035,22.993000000000002,274,177,12,3,250,2,267,1.7699999999999998e-07,47.0,256,1.0703125,<=>
326,b0238,SACI_RS04420,31.818,154,85,6,1,140,1,148,5.21e-12,57.0,152,1.013157894736842,<=>
369,b0273,SACI_RS06735,35.714,322,183,4,7,328,5,302,5.4e-56,181.0,334,0.9640718562874252,<=>
