,gene_id,gene_ontology
0,Saci_1117,glycerol kinase activity
1,Saci_1117,glycerol metabolic process
2,Saci_1160,maltose alpha-glucosidase activity
3,Saci_1173,protein binding
4,Saci_1175,identical protein binding
5,Saci_1177,protein binding
6,Saci_1677,tRNA (adenine-N1-)-methyltransferase activity
7,Saci_1677,tRNA methylation
8,Saci_2033,glycerol kinase activity
9,Saci_2033,glycerol metabolic process
10,Saci_2088,"oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor"
11,Saci_2088,ATP synthesis coupled electron transport
12,Saci_2269,cytoplasm
13,Saci_2269,"oxidoreductase activity, acting on the aldehyde or oxo group of donors"
14,Saci_2269,flavin adenine dinucleotide binding
15,Saci_2270,cytoplasm
16,Saci_2270,"oxidoreductase activity, acting on the aldehyde or oxo group of donors"
17,Saci_2270,"2 iron, 2 sulfur cluster binding"
18,Saci_2271,cytoplasm
19,Saci_2271,"oxidoreductase activity, acting on the aldehyde or oxo group of donors"
20,Saci_2271,molybdopterin cofactor binding
21,Saci_0613,"proteasome core complex, alpha-subunit complex"
22,Saci_0059,magnesium ion binding
23,Saci_0059,oxaloacetate metabolic process
24,Saci_0059,phosphoenolpyruvate carboxylase activity
25,Saci_0059,carbon fixation
26,Saci_0192,DNA duplex unwinding
27,Saci_0192,5'-3' DNA helicase activity
28,Saci_0192,"4 iron, 4 sulfur cluster binding"
29,Saci_0225,2-dehydro-3-deoxy-6-phosphogalactonate aldolase activity
30,Saci_0225,2-dehydro-3-deoxy-phosphogluconate aldolase activity
31,Saci_0459,peptide alpha-N-acetyltransferase activity
32,Saci_2089,"oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor"
33,Saci_2089,ATP synthesis coupled electron transport
34,Saci_0171,"regulation of transcription, DNA-templated"
35,Saci_0171,zinc ion binding
