locus_tag,gene_name,start,end,strand,gene_product,COG,uniprot
SACI_RS00005,SACI_RS00005,101,1261,+,AAA family ATPase,L,A0A0U3H3T6
SACI_RS00010,SACI_RS00010,1294,1629,+,hypothetical protein,X,A0A0U3FP71
SACI_RS00015,SACI_RS00015,1665,2504,+,hypothetical protein,S,A0A0U2NAH6
SACI_RS00020,SACI_RS00020,2553,3056,-,hypothetical protein,X,A0A0U3HCE5
SACI_RS00025,SACI_RS00025,3049,3768,-,hypothetical protein,X,Q4JCP4
SACI_RS00030,SACI_RS00030,3801,4052,-,winged helix-turn-helix transcriptional regulator,K,A0A0U3F8V4
SACI_RS11965,SACI_RS11965,4138,4419,-,hypothetical protein,X,UPI000782E83E
SACI_RS00035,SACI_RS00035,4456,5271,-,amidohydrolase,S,A0A0U3GLD2
SACI_RS00040,SACI_RS00040,5262,6101,-,NAD+ synthase,H,A0A0U3H6P7
SACI_RS00045,SACI_RS00045,6117,7601,-,hypothetical protein,S,A0A0U2W771
SACI_RS00050,SACI_RS00050,7727,8245,-,NTPase,F,A0A0U3GMM1
SACI_RS00055,SACI_RS00055,8367,9035,+,chlorite dismutase family protein,S,A0A0U2X1L2
SACI_RS00060,SACI_RS00060,8989,9516,-,NUDIX hydrolase,L,A0A0U2Y9R3
SACI_RS00065,SACI_RS00065,9521,10129,-,hypothetical protein,S,A0A0U3HBG1
SACI_RS00070,SACI_RS00070,10199,11032,+,TIM barrel protein,G,A0A0U3GHG1
SACI_RS00075,SACI_RS00075,11025,11702,+,phosphoglycolate phosphatase,S,A0A0U2VWY0
SACI_RS00080,SACI_RS00080,11673,12182,-,methyltransferase domain-containing protein,J,UPI0009B59A0C
SACI_RS00085,SACI_RS00085,12269,12931,-,HAD family hydrolase,S,A0A0U3HMZ9
SACI_RS00090,SACI_RS00090,12928,13242,-,transcriptional regulator,K,A0A0U3FPJ0
SACI_RS00095,SACI_RS00095,13239,14261,-,TIGR00303 family protein,H,A0A0U3H3Q8
SACI_RS00100,SACI_RS00100,14302,14658,+,hypothetical protein,X,A0A0U3GUC4
SACI_RS00105,nadA,14685,15683,+,quinolinate synthase NadA,H,UPI0000552108
