locus_tag,gene_name,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon
SACI_RS00005,SACI_RS00005,Saci_0001,101,1261,+,AAA family ATPase,"Replication, recombination and repair",A0A0U3H3T6,Op1
SACI_RS00010,SACI_RS00010,Saci_0002,1294,1629,+,hypothetical protein,No COG annotation,A0A0U3FP71,Op1
SACI_RS00015,SACI_RS00015,Saci_0003,1665,2504,+,hypothetical protein,Function unknown,A0A0U2NAH6,Op1
SACI_RS00020,SACI_RS00020,Saci_0004,2553,3056,-,hypothetical protein,No COG annotation,A0A0U3HCE5,Op2
SACI_RS00025,SACI_RS00025,Saci_0005,3049,3768,-,hypothetical protein,No COG annotation,A0A0U3FGW8,Op2
SACI_RS00030,SACI_RS00030,Saci_0006,3801,4052,-,winged helix-turn-helix transcriptional regulator,Transcription,A0A0U3F8V4,Op2
SACI_RS11965,SACI_RS11965,Saci_0007,4138,4419,-,hypothetical protein,No COG annotation,UPI000782E83E,Op3
SACI_RS00035,SACI_RS00035,Saci_0008,4456,5271,-,amidohydrolase,Function unknown,A0A0U3GLD2,Op3
SACI_RS00040,SACI_RS00040,Saci_0009,5262,6101,-,NAD+ synthase,Coenzyme transport and metabolism,A0A0U3H6P7,Op3
SACI_RS00045,SACI_RS00045,Saci_0010,6117,7601,-,hypothetical protein,Function unknown,A0A0U2W771,Op3
SACI_RS00050,SACI_RS00050,Saci_0011,7727,8245,-,NTPase,Nucleotide transport and metabolism,A0A0U3GMM1,Op4
SACI_RS00055,SACI_RS00055,Saci_0012,8367,9035,+,chlorite dismutase family protein,Function unknown,A0A0U2X1L2,Op5
SACI_RS00060,SACI_RS00060,Saci_0013,8989,9516,-,NUDIX hydrolase,"Replication, recombination and repair",A0A0U2Y9R3,Op6
SACI_RS00065,SACI_RS00065,Saci_0014,9521,10129,-,hypothetical protein,Function unknown,A0A0U3HBG1,Op6
SACI_RS00070,SACI_RS00070,Saci_0015,10199,11032,+,TIM barrel protein,Carbohydrate transport and metabolism,A0A0U3GHG1,Op7
SACI_RS00075,SACI_RS00075,Saci_0016,11025,11702,+,phosphoglycolate phosphatase,Function unknown,A0A0U2VWY0,Op7
SACI_RS00080,SACI_RS00080,Saci_0017,11673,12182,-,methyltransferase domain-containing protein,"Translation, ribosomal structure and biogenesis",UPI0009B59A0C,Op8
SACI_RS00085,SACI_RS00085,Saci_0018,12269,12931,-,HAD family hydrolase,Function unknown,A0A0U3HMZ9,Op9
SACI_RS00090,SACI_RS00090,Saci_0019,12928,13242,-,transcriptional regulator,Transcription,A0A0U3FPJ0,Op9
SACI_RS00095,SACI_RS00095,Saci_0020,13239,14261,-,TIGR00303 family protein,Coenzyme transport and metabolism,A0A0U3H3Q8,Op9
SACI_RS00100,SACI_RS00100,Saci_0022,14302,14658,+,hypothetical protein,No COG annotation,A0A0U3GUC4,Op10
SACI_RS00105,nadA,Saci_0023,14685,15683,+,quinolinate synthase NadA,Coenzyme transport and metabolism,UPI0000552108,Op10
SACI_RS00110,SACI_RS00110,Saci_0024,15604,16728,-,aminotransferase class V-fold PLP-dependent enzyme,Amino acid transport and metabolism,A0A0U3FP60,Op11
SACI_RS00115,SACI_RS00115,Saci_0025,16715,18421,-,AMP-binding protein,Lipid transport and metabolism,A0A0U2NAH0,Op11
SACI_RS00120,SACI_RS00120,Saci_0026,18433,18909,-,NOB1 family endonuclease,Defense mechanisms,A0A0U3HFG5,Op11
SACI_RS00125,SACI_RS00125,Saci_0027,18899,19645,-,NAD(+)/NADH kinase,Nucleotide transport and metabolism,A0A0U3FGV3,Op11
SACI_RS00130,SACI_RS00130,Saci_0028,19654,20007,-,hypothetical protein,No COG annotation,A0A0U3F8U1,Op11
SACI_RS00135,SACI_RS00135,Saci_0029,20087,21088,+,NAD(P)/FAD-dependent oxidoreductase,"Post-translational modification, protein turnover,and chaperones",A0A0U3FYH3,Op12
SACI_RS00140,SACI_RS00140,Saci_0030,21085,21975,+,methyltransferase domain-containing protein,"Translation, ribosomal structure and biogenesis",A0A0U2X1J8,Op12
SACI_RS11510,SACI_RS11510,Saci_0031,21901,22383,-,DUF371 domain-containing protein,Function unknown,A0A0U3H4L1,Op13
SACI_RS00145,SACI_RS00145,Saci_0032,22370,22651,-,YhbY family RNA-binding protein,"Translation, ribosomal structure and biogenesis",UPI0002B2998B,Op13
SACI_RS11515,SACI_RS11515,Saci_0033,22557,22913,-,ribonuclease P,"Translation, ribosomal structure and biogenesis",UPI0000552112,Op14
SACI_RS00150,SACI_RS00150,Saci_0034,22932,23591,+,16S rRNA methyltransferase,"Translation, ribosomal structure and biogenesis",UPI0000552113,Op15
SACI_RS00155,SACI_RS00155,Saci_0035,23574,24155,-,hypothetical protein,No COG annotation,A0A0U3GX03,Op16
SACI_RS00160,SACI_RS00160,Saci_0037,24505,25560,-,hypothetical protein,Amino acid transport and metabolism,A0A0U3HBD1,Op17
