Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Genes in same transcription unit	Accession-1
SACI_RS08455	SACI_RS08455	1528633	1529169	class I SAM-dependent methyltransferase	SACI_RS08455	SACI_RS08455
SACI_RS04535	SACI_RS04535	759948	760697	GHMP kinase	SACI_RS04540 // SACI_RS04535 // SACI_RS04530	SACI_RS04540 // SACI_RS04535 // SACI_RS04530
SACI_RS02500	SACI_RS02500	430465	430538	tRNA-Met	SACI_RS02500	SACI_RS02500
SACI_RS08460	SACI_RS08460	1529335	1531320	alkaline phosphatase family protein	SACI_RS08460	SACI_RS08460
SACI_RS04540	SACI_RS04540	760719	761144	hypothetical protein	SACI_RS04540 // SACI_RS04535 // SACI_RS04530	SACI_RS04540 // SACI_RS04535 // SACI_RS04530
SACI_RS01440	SACI_RS01440	250405	251655	MFS transporter	SACI_RS01440	SACI_RS01440
SACI_RS00210	SACI_RS00210	32386	33312	nucleoside hydrolase	SACI_RS00210	SACI_RS00210
SACI_RS04545	SACI_RS04545	761181	761888	MoaD family protein	SACI_RS04545	SACI_RS04545
SACI_RS08465	SACI_RS08465	1531395	1532090	phenylacetic acid catabolic protein	SACI_RS08470 // SACI_RS08465	SACI_RS08470 // SACI_RS08465
thiD	SACI_RS04550	761866	763209	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	SACI_RS04565 // ppa // SACI_RS04555 // thiD	SACI_RS04565 // ppa // SACI_RS04555 // thiD
SACI_RS08470	SACI_RS08470	1532100	1532870	ring oxidation complex/ phenylacetic acid degradation	SACI_RS08470 // SACI_RS08465	SACI_RS08470 // SACI_RS08465
SACI_RS04555	SACI_RS04555	763213	763746	HD family hydrolase	SACI_RS04565 // ppa // SACI_RS04555 // thiD	SACI_RS04565 // ppa // SACI_RS04555 // thiD
SACI_RS08475	SACI_RS08475	1533033	1533836	enoyl-CoA hydratase/isomerase family protein	SACI_RS08475	SACI_RS08475
ppa	SACI_RS04560	763773	764294	inorganic diphosphatase	SACI_RS04565 // ppa // SACI_RS04555 // thiD	SACI_RS04565 // ppa // SACI_RS04555 // thiD
SACI_RS01390	SACI_RS01390	241184	241621	hypothetical protein	SACI_RS01390 // SACI_RS01385 // SACI_RS01380 // SACI_RS01375 // SACI_RS01370	SACI_RS01390 // SACI_RS01385 // SACI_RS01380 // SACI_RS01375 // SACI_RS01370
